application_id,company,role,job_location,geo_region,seniority,role_type,salary_min,salary_max,salary_currency,jd_authorship,stakeholder_orientation,autonomy_level,greenfield_vs_fix,velocity_vs_rigour,domain_risk,collaboration_width,data_team_maturity,urgency,language_gate_type,language_gate_languages,interview_stages,has_dbt,has_spark,has_python,has_sql,has_airflow,has_dagster,has_prefect,has_snowflake,has_databricks,has_bigquery,has_redshift,has_duckdb,has_kafka,has_terraform,has_looker,has_tableau,has_power_bi,has_great_expectations,has_soda
2026-04-22_mentimeter_analytics-engineer,Mentimeter,Analytics Engineer,"Stockholm, Sweden (Onsite/Hybrid)",nordics,mid,analytics_engineering_bi,,,,hiring_manager,internal_data,strategic,mixed,rigour,moderate,4,mid,standard,hard,English,,True,False,False,True,False,,,False,False,,,,False,False,True,True,True,,
2026-04-22_pergolux_senior-analytics-engineer-finance-operations,Pergolux LLC,Senior Analytics Engineer - Finance & Operations,"Berlin, Germany (Full-time, on-site)",berlin,senior,analytics_engineering_bi,60000,80000,EUR,hiring_manager,finance,strategic,greenfield,mixed,high,3,early,standard,none,,,True,False,True,True,False,,,True,False,,,,False,False,False,False,False,,
2026-04-22_polyteia_analytics-engineering-lead,Polyteia,Analytics Engineering Lead,Berlin,berlin,lead,team_lead,80000,90000,EUR,mixed,commercial,mixed,mixed,rigour,high,2,mid,standard,hard,"German, English",,True,False,True,True,True,,,False,False,,,,False,False,False,False,False,,
2026-04-22_qasa_analytics-engineer,Qasa,Analytics Engineer,"Stockholm, Sweden (Hybrid)",nordics,mid,analytics_engineering_bi,,,,recruiter,internal_data,strategic,greenfield,mixed,moderate,5,early,standard,none,,,False,False,False,True,False,,,False,False,,,,False,False,False,False,False,,
2026-04-22_shine_senior-analytics-engineer,Shine,Senior Analytics Engineer,Berlin or Copenhagen (hybrid: 2 remote days/week possible),berlin,senior,analytics_engineering_bi,,,,hiring_manager,internal_data,mixed,mixed,rigour,moderate,2,mid,standard,none,,4,True,False,True,True,False,,,True,False,,,,False,False,True,False,False,,
2026-04-22_statista_analytics-engineer-reporting-platform,Statista,Analytics Engineer - Reporting Platform,"Hamburg or Berlin, Germany",berlin,mid,analytics_engineering_bi,,,,mixed,internal_data,mixed,fix_scale,rigour,low,4,mid,standard,soft,German,,False,False,False,True,False,,,True,False,,,,False,False,False,False,True,,
2026-04-24_getsafe_analytics-engineer,Getsafe,Analytics Engineer,"Berlin, Germany (hybrid); Heidelberg, Germany (hybrid)",berlin,mid,analytics_engineering_bi,,,,hiring_manager,mixed,strategic,mixed,mixed,high,3,early,standard,none,,,True,False,True,True,False,,,False,False,,,,False,False,False,False,False,,
2026-04-28_seven-senders_senior-bi-analyst,Seven Senders,Senior Business Intelligence Analyst,"Berlin, Berlin, Germany",berlin,senior,analytics_engineering_bi,,,,hiring_manager,internal_data,execution,mixed,rigour,moderate,3,mid,standard,none,,,True,False,False,True,False,,,False,False,,,,False,False,True,False,False,,
2026-05-01_aviv-group_senior-analytics-engineer,AVIV Group,Senior Analytics Engineer,"Berlin, Germany",berlin,senior,analytics_engineering_bi,,,,mixed,internal_data,mixed,mixed,rigour,moderate,4,mid,standard,none,,,True,False,False,True,False,,,True,False,,,,False,False,False,False,False,,
2026-05-01_wolt_senior-revenue-data-analyst,Wolt,Senior Revenue Data Analyst,"Berlin, Germany; Budapest, Hungary",berlin,senior,analytics_engineering_bi,,,,mixed,finance,execution,fix_scale,rigour,high,5,mid,standard,soft,English,,True,False,False,True,False,,,True,False,,,,False,False,True,False,False,,
2026-05-09_forward-college_lecturer-business-analytics-statistics,Forward College,Lecturer in Business Analytics and Statistics,"Berlin, Germany",berlin,mid,other,6500,7500,EUR,hiring_manager,internal_data,execution,fix_scale,rigour,low,2,early,standard,hard,English,,False,False,False,False,False,,,False,False,,,,False,False,False,True,False,,
2026-05-09_lightdash_analytics-engineering-advocate,Lightdash,Analytics Engineering Advocate,"Europe (Remote, UTC +/- 3 hours)",global_remote,mid,other,65000,100000,GBP,hiring_manager,commercial,mixed,greenfield,velocity,low,3,early,standard,none,,,True,False,False,True,False,,,False,False,,,,False,False,False,False,False,,
2026-05-11_getyourguide_data-engineer,GetYourGuide,"Data Engineer, Traveler Data Engineering","Berlin, Berlin, Germany",berlin,junior,data_engineering,,,,hiring_manager,internal_data,execution,fix_scale,rigour,moderate,3,mature,standard,hard,English,,True,True,True,True,False,,,True,False,,,,False,False,True,True,False,,
2026-05-11_helmes_team-lead,Helmes,Team Lead,Estonia (offices in Tallinn and Tartu),other_europe,lead,team_lead,,,,recruiter,commercial,mixed,fix_scale,rigour,low,2,early,standard,hard,"Estonian, English",,False,False,False,False,False,,,False,False,,,,False,False,False,False,False,,
2026-05-13_smoobu_senior-analytics-engineer,Smoobu (HomeToGo Group),Senior Analytics Engineer,Berlin,berlin,senior,analytics_engineering_bi,,,,hiring_manager,internal_data,strategic,fix_scale,rigour,moderate,3,mid,standard,none,,,True,False,False,True,True,,,True,False,,,,False,False,False,False,False,,
2026-06-04_vinted_analytics-engineer-finance,Vinted Group,"Analytics Engineer, Finance","Berlin, Germany",berlin,mid,analytics_engineering_bi,61200,100100,EUR,mixed,finance,execution,mixed,rigour,high,3,mid,standard,none,,,True,False,True,True,True,,,False,False,,,,False,False,False,False,False,,
2026-06-20_1komma5grad_senior-analytics-engineer-growth,1KOMMA5°,Senior Analytics Engineer - Growth,"Berlin, Germany (Remote throughout Germany; offices in Hamburg, Berlin, Munich)",berlin,senior,analytics_engineering_bi,,,,hiring_manager,commercial,strategic,mixed,mixed,moderate,5,mid,standard,soft,"English, German",,True,False,True,True,False,,,False,False,,,,False,True,True,True,True,,
2026-06-20_adsquare_staff-data-analytics-engineer,Adsquare GmbH,Staff Data Analytics Engineer,"Berlin, Germany",berlin,staff,analytics_engineering_bi,90000,100000,EUR,hiring_manager,internal_data,strategic,fix_scale,rigour,high,3,mature,standard,none,,,True,True,True,True,True,,,True,False,,,,False,True,False,False,False,,
2026-06-20_almedia_analytics-engineer,Almedia,Analytics Engineer,"Berlin, Germany (On-site)",berlin,mid,analytics_engineering_bi,70000,140000,EUR,mixed,internal_data,execution,greenfield,mixed,moderate,4,mid,standard,none,,,True,False,True,True,True,,,True,False,,,,False,False,False,False,False,,
2026-06-20_just-dice_analytics-engineer,justDice,Analytics Engineer,"Hamburg, Germany (Hybrid — 3 core office days)",hamburg,mid,analytics_engineering_bi,,,,mixed,product,mixed,greenfield,mixed,moderate,2,early,standard,none,,,True,False,True,True,False,,,False,False,,,,False,False,False,True,False,,
2026-06-20_wolt_senior-analytics-engineer-merchant,Wolt,"Senior Analytics Engineer, Merchant","Berlin, Germany; Helsinki, Finland; Stockholm, Sweden",berlin,senior,analytics_engineering_bi,,,,hiring_manager,internal_data,mixed,fix_scale,rigour,moderate,3,mid,standard,none,,,True,False,False,True,True,,,True,False,,,,False,False,True,True,True,,
2026-06-22_freenow_analytics-engineer,FREE NOW (Freenow by Lyft),Analytics Engineer,"Hamburg, Berlin, or Barcelona",berlin,mid,analytics_engineering_bi,,,,hiring_manager,internal_data,mixed,mixed,rigour,moderate,4,mature,standard,none,,,False,True,True,True,True,,,False,True,,,,True,False,False,True,False,,
2026-06-22_scoot_senior-analyst-business-intelligence,Scoot,"Senior Analyst, Business Intelligence",Singapore HQ,other_europe,senior,analytics_engineering_bi,,,,recruiter,internal_data,execution,fix_scale,rigour,high,2,early,standard,none,,,False,False,False,True,False,,,False,False,,,,False,False,False,True,False,,
2026-06-22_sumup_senior-analytics-engineer,SumUp,Senior Analytics Engineer - Run & Grow,"Berlin, Germany",berlin,senior,analytics_engineering_bi,,,,hiring_manager,internal_data,execution,mixed,rigour,high,4,mature,standard,none,,,True,False,False,True,False,,,True,False,,,,False,False,False,False,False,,
2026-06-22_the-quality-group-gmbh_senior-analytics-engineer,The Quality Group GmbH,(Senior) Analytics Engineer,Hamburg (hybrid),hamburg,senior,analytics_engineering_bi,,,,mixed,internal_data,execution,mixed,rigour,moderate,3,mid,standard,hard,German,,True,False,False,True,False,,,False,True,,,,False,False,False,True,False,,
2026-06-23_lovehoney-group_senior-analytics-engineer,Lovehoney Group,Senior Analytics Engineer,Berlin / Bath,berlin,senior,analytics_engineering_bi,,,,mixed,internal_data,strategic,fix_scale,rigour,moderate,3,mid,standard,none,,4,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2026-06-23_trade-republic_analytics-engineer,Trade Republic,Analytics Engineer,"Berlin, Germany",berlin,senior,analytics_engineering_bi,,,,hiring_manager,product,mixed,fix_scale,mixed,high,2,mid,standard,none,,,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2026-04-09_finn_data-engineer,,Data Engineer at FINN,,other,mid,data_engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-23_octopus-energy-germany_analytics-engineer,Octopus Energy Germany,Analytics Engineer (Gross Margin & Cost Modelling),Germany,other,mid,analytics_engineering_bi,,,,hiring_manager,finance,mixed,fix_scale,rigour,high,3,mid,standard,hard,"German, English",,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-06-25_adsquare_staff-data-analytics-engineer,Adsquare GmbH,Staff Data Analytics Engineer (m/f/d),Berlin,berlin,staff,analytics_engineering_bi,90000,100000,EUR,hiring_manager,internal_data,strategic,mixed,rigour,moderate,0,mature,urgent,none,,5,True,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
2026-06-25_blue-orange-digital_analytics-engineer-power-bi-specialist,Blue Orange Digital,Analytics Engineer (Power BI Specialist),"Remote - Europe (Berlin, Cracow, Kyiv, Lisbon, London, Rome, Warsaw)",berlin,senior,analytics_engineering_bi,5500,7200,USD,mixed,finance,execution,greenfield,rigour,high,4,mid,standard,none,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2026-06-25_dashlane_analytics-engineer,Dashlane,Analytics Engineer,"Lisbon, Portugal (Hybrid)",other,mid,analytics_engineering_bi,,,,mixed,internal_data,mixed,fix_scale,rigour,moderate,2,mid,standard,none,,,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2026-06-25_egnyte_analytics-engineer,Egnyte,Analytics Engineer,"Poznań, Poland (Remote option available)",global_remote,mid,analytics_engineering_bi,,,,mixed,internal_data,execution,mixed,rigour,moderate,0,mid,standard,none,,,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False
2026-06-25_marie-stella-maris_data-integration-engineer,Marie-Stella-Maris,Data & Integration Engineer,Amsterdam,other_europe,mid,data_engineering,,,,hiring_manager,internal_data,mixed,mixed,rigour,moderate,3,mid,standard,soft,Dutch,,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2026-06-25_telavox_analytics-engineer,Telavox,Analytics Engineer,Malmö,other,mid,analytics_engineering_bi,,,,hiring_manager,internal_data,strategic,mixed,rigour,moderate,1,mid,standard,soft,Swedish,,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2026-06-25_uplearn_head-of-data,Up Learn,Head of Data,"London (Old Street), hybrid",uk_remote,manager,team_lead,,,,hiring_manager,mixed,strategic,mixed,mixed,moderate,3,mid,standard,none,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-06-27_ascenda-loyalty_senior-analytics-engineer,Ascenda Loyalty,Senior Analytics Engineer,"Singapore • Ho Chi Minh, Vietnam",other_europe,senior,analytics_engineering_bi,,,,hiring_manager,internal_data,strategic,fix_scale,rigour,high,6,mid,standard,none,,,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2026-06-27_blue-orange-digital_analytics-engineer-power-bi-specialist,Blue Orange Digital,Analytics Engineer (Power BI Specialist),"Remote - Europe (Berlin, Cracow, Kyiv, Lisbon, London, Rome, Warsaw)",berlin,senior,analytics_engineering_bi,5500,7200,USD,hiring_manager,finance,execution,greenfield,rigour,high,4,mid,standard,none,,,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
2026-06-27_bolt_senior-analytics-engineer,Bolt,Senior Analytics Engineer,"Tallinn, Estonia",other_europe,senior,analytics_engineering_bi,,,,mixed,internal_data,mixed,mixed,rigour,moderate,1,mature,standard,none,,,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False
2026-06-27_dashlane_analytics-engineer,Dashlane,Analytics Engineer,"Lisbon, Portugal (Hybrid)",other,mid,analytics_engineering_bi,,,,hiring_manager,mixed,mixed,mixed,rigour,moderate,2,mid,standard,none,,,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2026-06-27_datenna_senior-analytics-engineer,Datenna BV,Senior Analytics Engineer,"Hybrid, Eindhoven, Noord-Brabant, Netherlands",other_europe,senior,analytics_engineering_bi,,,,recruiter,internal_data,execution,mixed,rigour,moderate,0,mid,standard,none,,4,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
2026-06-27_decathlon-digital_senior-analytics-engineer,Decathlon Digital FR,Senior Analytics Engineer,"Lille (Btwin Village), Nord, France; Paris, France",other_europe,senior,analytics_engineering_bi,,,,hiring_manager,internal_data,mixed,mixed,rigour,moderate,1,mature,standard,hard,"French, English",,True,True,True,True,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False
2026-06-27_doodle_growth-analytics-engineer,Doodle,Growth Analytics Engineer,"Berlin, London (Hybrid)",berlin,mid,analytics_engineering_bi,,,,mixed,mixed,strategic,mixed,mixed,moderate,4,mid,standard,none,,6,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False
2026-06-27_dynatrace_senior-analytics-engineer,Dynatrace,Senior Analytics Engineer,"Barcelona, Spain",other_europe,senior,analytics_engineering_bi,,,,mixed,internal_data,execution,fix_scale,rigour,moderate,2,mature,standard,none,,,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2026-06-27_eraneos_analytics-engineer,Eraneos,Analytics Engineer (all genders),"Hamburg, München, Düsseldorf, remote",hamburg,mid,analytics_engineering_bi,,,,mixed,internal_data,execution,mixed,rigour,moderate,2,mid,standard,hard,German,,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True
2026-06-27_lansweeper_revenue-analytics-engineer,Lansweeper,Revenue Analytics Engineer,"London, Greater London, United Kingdom (Hybrid)",uk_remote,senior,analytics_engineering_bi,107000,174000,EUR,mixed,mixed,mixed,fix_scale,rigour,high,4,mid,standard,none,,,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2026-06-27_lego-group_analytics-engineer,The LEGO Group,Analytics Engineer,"Billund, Denmark; London, United Kingdom",nordics,lead,analytics_engineering_bi,,,,hiring_manager,commercial,mixed,mixed,rigour,moderate,9,mature,standard,hard,,,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2026-06-27_lexroom_analytics-engineer,Lexroom.ai,Analytics Engineer,"Milan, Italy (Hybrid)",other_europe,mid,analytics_engineering_bi,45000,70000,EUR,hiring_manager,product,strategic,greenfield,rigour,moderate,4,early,standard,soft,Italian,,True,False,True,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False
2026-06-27_m13h_lead-analytics-engineer,M13h,Lead Analytics Engineer (H/F),"Lyon, France",other_europe,lead,analytics_engineering_bi,60000,70000,EUR,mixed,internal_data,mixed,mixed,rigour,moderate,3,mid,standard,hard,French,3,True,False,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False
2026-06-27_mentimeter_analytics-engineer,Mentimeter,Analytics Engineer,Stockholm (onsite/hybrid),nordics,senior,analytics_engineering_bi,,,,hiring_manager,internal_data,strategic,mixed,rigour,moderate,4,mature,standard,none,,4,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
2026-06-27_mollie_analytics-engineer-revenue-operations,Mollie,Analytics Engineer - Revenue Operations,Amsterdam; Milan,other_europe,mid,analytics_engineering_bi,,,,mixed,commercial,mixed,mixed,rigour,moderate,4,mid,standard,none,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
2026-06-27_mr-marvis_senior-analytics-engineer,MR MARVIS,Senior Analytics Engineer,Amsterdam HQ Office,other_europe,senior,analytics_engineering_bi,,,,mixed,internal_data,mixed,mixed,rigour,moderate,1,mid,standard,none,,,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False
2026-06-27_n26_senior-risk-data-and-analytics-engineer,N26,(Senior) Risk Data & Analytics Engineer,Berlin,berlin,senior,data_engineering,,,,mixed,finance,execution,fix_scale,rigour,high,3,mid,standard,none,,,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-06-27_netflix_analytics-engineer-l5-localization,Netflix,Analytics Engineer (L5) - Localization,"Amsterdam, Netherlands",other_europe,senior,analytics_engineering_bi,,,,mixed,product,strategic,mixed,rigour,moderate,4,mature,standard,none,,,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2026-06-27_perk_analytics-engineer,Perk,Analytics Engineer,London; Barcelona,uk_remote,mid,analytics_engineering_bi,,,,mixed,internal_data,execution,mixed,rigour,moderate,2,mid,standard,none,,,True,False,True,True,True,False,False,True,False,True,True,False,False,False,True,False,False,False,False
2026-06-27_preply_senior-analytics-engineer,Preply,Senior Analytics Engineer,Barcelona,other_europe,senior,analytics_engineering_bi,,,,hiring_manager,product,strategic,fix_scale,rigour,moderate,3,mature,standard,hard,,,True,False,True,True,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False
2026-06-27_protolabs_senior-analytics-engineer,Protolabs,Senior Analytics Engineer,Amsterdam,other_europe,senior,analytics_engineering_bi,,,,mixed,internal_data,mixed,mixed,rigour,moderate,1,mid,standard,none,,,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False
2026-06-27_sisu-group_senior-analytics-engineer,Sisu Group,Senior Analytics Engineer,Tallinn,other_europe,senior,analytics_engineering_bi,,,,mixed,internal_data,execution,mixed,rigour,moderate,4,mid,standard,none,,,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
2026-06-27_sosafe_senior-analytics-engineer,SoSafe,Senior Analytics Engineer,United Kingdom Remote,global_remote,senior,analytics_engineering_bi,,,,hiring_manager,internal_data,strategic,mixed,rigour,moderate,2,mid,standard,hard,,,True,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False
2026-06-27_spotify_analytics-engineer-ii,Spotify,Analytics Engineer II,Stockholm / London,nordics,mid,analytics_engineering_bi,,,,hiring_manager,internal_data,execution,fix_scale,rigour,moderate,5,mature,standard,none,,,True,False,False,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False
2026-06-27_vestas_analytics-engineer,Vestas,Analytics Engineer,"Copenhagen S, Region Capital of Denmark, DK, 2300",nordics,mid,analytics_engineering_bi,,,,recruiter,finance,execution,fix_scale,rigour,high,4,mature,urgent,none,,,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
2026-06-27_vinted_area-lead-analytics-engineer,Vinted,Area Lead Analytics Engineer,"Berlin, Germany",berlin,lead,analytics_engineering_bi,90100,121900,EUR,mixed,internal_data,strategic,mixed,rigour,moderate,4,mature,standard,none,,,True,False,False,True,True,True,False,True,False,True,True,False,False,False,True,True,True,False,False
2026-06-27_welcome-to-the-jungle_senior-analytics-engineer,Welcome to the Jungle,Senior Analytics Engineer,Paris (Hybrid),other_europe,senior,analytics_engineering_bi,58000,72000,EUR,recruiter,internal_data,mixed,mixed,rigour,moderate,3,mid,standard,none,,4,True,False,True,True,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False
2026-06-27_yuri-neil_analytics-engineer,YURI & NEIL (client: data agency),Analytics Engineer (H/F),Montreuil (Télétravail fréquent),other,mid,analytics_engineering_bi,48000,55000,EUR,hiring_manager,mixed,execution,greenfield,rigour,moderate,3,mid,standard,soft,English,,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2026-06-29_bip_business-intelligence-specialist,BIP (Business Integration Partners),Business Intelligence Specialist,"Milano, Lombardia, Italy",other_europe,mid,analytics_engineering_bi,,,,mixed,mixed,mixed,mixed,rigour,moderate,4,mid,standard,hard,Italian,3,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False
2026-06-29_chefs-culinar-west_business-intelligence-specialist,CHEFS CULINAR West GmbH & Co. KG,Business Intelligence Specialist (m/w/d),"Weeze, Germany",other,mid,analytics_engineering_bi,,,,mixed,internal_data,execution,fix_scale,rigour,moderate,1,mid,standard,hard,German,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2026-06-29_e-frontiers_analytics-engineer-data-engineer,E-Frontiers,Analytics Engineer / Data Engineer,"Community of Madrid, Spain",other_europe,senior,analytics_engineering_bi,,,,mixed,internal_data,mixed,fix_scale,rigour,high,0,mid,standard,soft,Spanish,,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-06-29_experis-uk_analytics-engineer-data-analyst,Experis UK,Analytics Engineer/Data Analyst,"London (Hybrid, 2 days/week)",uk_remote,mid,analytics_engineering_bi,,65000,GBP,recruiter,internal_data,execution,fix_scale,rigour,moderate,0,mid,standard,none,,,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2026-06-29_flutter-uk-and-ireland_business-intelligence-analyst,Flutter UK & Ireland,Business Intelligence Analyst,Gibraltar,other,mid,analytics_engineering_bi,,,,recruiter,commercial,execution,fix_scale,rigour,high,3,mid,standard,none,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2026-06-29_fullenrich_analytics-engineer,FullEnrich,Analytics Engineer,Paris,other_europe,senior,analytics_engineering_bi,,,,hiring_manager,commercial,strategic,mixed,mixed,moderate,5,early,standard,soft,French,4,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2026-06-29_irium-portugal_senior-analytics-engineer,Irium Portugal,Senior Analytics Engineers / Mid Analytics Engineers,"Lisbon, Portugal (hybrid)",other,senior,analytics_engineering_bi,55000,60000,EUR,mixed,internal_data,execution,mixed,rigour,moderate,5,mid,standard,hard,,,False,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,False,False
2026-06-29_mts-globe_finance-bi-analyst,MTS Globe,Finance BI Analyst,"Palma, Spain",other_europe,mid,analytics_engineering_bi,,,,recruiter,finance,execution,mixed,rigour,high,1,early,standard,soft,Spanish,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2026-06-29_onem-smals_senior-data-analytics-engineer,ONEM / Smals,Senior Data Analytics Engineer,"Administration centrale - Boulevard de l'Empereur 7, 1000 Bruxelles",other,senior,analytics_engineering_bi,,,,hiring_manager,internal_data,execution,fix_scale,rigour,high,0,mature,standard,hard,Dutch,,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
2026-06-30_avalanche-studios_senior-analytics-engineer,Avalanche Studios Group,Senior Analytics Engineer,"Stockholm, Sweden (hybrid)",nordics,senior,analytics_engineering_bi,,,,recruiter,product,execution,mixed,rigour,moderate,1,mid,standard,none,,,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
2026-06-30_bitac-gmbh_business-intelligence-spezialist,Bitac GmbH,Business Intelligence Spezialist (gn),Remote (Deutschland),global_remote,mid,analytics_engineering_bi,,,,recruiter,internal_data,execution,mixed,mixed,moderate,2,mid,standard,hard,German,,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2026-06-30_cosuno_senior-analytics-engineer,Cosuno,Senior Analytics Engineer,Berlin/Remote,berlin,senior,analytics_engineering_bi,80000,100000,EUR,hiring_manager,mixed,strategic,fix_scale,rigour,moderate,3,mid,standard,hard,,,True,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
